key_mlbam,name
111219,Luke Boone
111220,Ray Boone
111221,Bob Boone
111222,Booth
111223,Amos Booth
111224,Eddie Booth
111225,Josh Booty
111226,John Boozer
111227,Pedro Borbón
111228,Pedro Borbón
111229,George Borchers
111230,Frenchy Bordagaray
111231,Joe Borden
111232,Pat Borders
111233,Rich Bordi
111234,Mike Bordick
111235,Bill Bordley
111236,Glenn Borgmann
111237,Paul Boris
111238,Frank Bork
111239,Bob Borkowski
111240,Tom Borland
111241,Toby Borland
111242,Red Borom
111243,Steve Boros
111244,Joe Borowski
111245,Hank Borowy
111246,Babe Borton
111247,Don Bosch
111248,Rick Bosetti
111249,Chris Bosio
111250,Shawn Boskie
111251,Thad Bosley
111252,Dick Bosman
111253,Harley Boss
111254,Mel Bosser
111255,Henry Bostick
111256,Lyman Bostock
111257,Daryl Boston
111258,Andy Boswell
111259,Dave Boswell
111260,Ken Boswell
111261,Derek Botelho
111262,Ricky Bottalico
111263,John Bottarini
111264,Kent Bottenfield
111265,Ralph Botting
111266,Jim Bottomley
111267,Bob Botz
111268,Ed Bouchee
111269,Al Boucher
111270,Denis Boucher
111271,Medric Boucher
111272,Lou Boudreau
111273,Carl Bouldin
111274,Jake Boultes
